case_id,e1,e2,e3,t1,t2,t3,total_thickness,peak_downward_uz,peak_downward_abs,mean_patch_uz,mean_patch_abs,pinn_eval_seconds,n_eval_points
random_interior_186,9.2316836,6.363234,7.4071838,0.067336781,0.02321026,0.062681206,0.15322825,-0.1057019384,0.1057019384,-0.08367662404,0.08367662404,0.000866,441
random_interior_105,4.6207452,5.4519786,3.6912798,0.093240628,0.077134203,0.068771747,0.23914658,-0.1059374596,0.1059374596,-0.07804796742,0.07804796742,0.000994,441
random_interior_067,7.7494077,5.8053977,8.7957449,0.037433649,0.06560595,0.054303117,0.15734272,-0.1072153982,0.1072153982,-0.08409048043,0.08409048043,0.001204,441
random_interior_267,8.6900465,3.9689726,7.0190206,0.090628946,0.095747464,0.047922374,0.23429878,-0.1083348892,0.1083348892,-0.07662929496,0.07662929496,0.000779,441
random_interior_253,5.629382,5.7060606,8.8478963,0.024053184,0.090263274,0.085550303,0.19986676,-0.1085596561,0.1085596561,-0.08050344995,0.08050344995,0.000785,441
random_interior_050,4.5006572,2.8247307,7.6430553,0.083154725,0.077784917,0.058353779,0.21929342,-0.1091037734,0.1091037734,-0.08243702077,0.08243702077,0.001210,441
random_interior_069,7.7242489,5.6370315,7.2382806,0.032611224,0.096916564,0.074158499,0.20368629,-0.1097731725,0.1097731725,-0.08164740316,0.08164740316,0.001028,441
random_interior_386,7.9572512,5.638315,9.0704688,0.095529791,0.075805875,0.020946724,0.19228239,-0.1098045614,0.1098045614,-0.08062761237,0.08062761237,0.000852,441
random_interior_396,3.7471695,3.9818902,7.9940939,0.046436672,0.092389555,0.079685124,0.21851135,-0.1101906155,0.1101906155,-0.08301776754,0.08301776754,0.000872,441
random_interior_206,9.3656477,4.7366692,3.8664119,0.092327049,0.090750853,0.047609808,0.23068771,-0.1112501045,0.1112501045,-0.07889434209,0.07889434209,0.000781,441
random_interior_366,5.0119936,1.8418703,9.410243,0.081859645,0.041496695,0.081490288,0.20484663,-0.1115914704,0.1115914704,-0.08520570709,0.08520570709,0.000765,441
random_interior_006,3.6169177,2.2697753,9.4587128,0.061101328,0.080671133,0.085697882,0.22747034,-0.1118857716,0.1118857716,-0.08442472031,0.08442472031,0.015190,441
random_interior_020,5.8545017,6.6527104,9.3782475,0.020126081,0.087695184,0.077412226,0.18523349,-0.1124387244,0.1124387244,-0.08393558762,0.08393558762,0.001312,441
random_interior_201,8.2098719,9.7998715,9.8923091,0.036529654,0.028735487,0.071471399,0.13673654,-0.1135472948,0.1135472948,-0.08987942053,0.08987942053,0.000856,441
random_interior_208,8.0127978,8.1262595,8.4539389,0.077154135,0.02158015,0.052522517,0.1512568,-0.1135493097,0.1135493097,-0.08932613275,0.08932613275,0.000760,441
random_interior_044,9.7041232,4.780077,3.7949251,0.093670269,0.053178425,0.057732376,0.20458107,-0.1144232313,0.1144232313,-0.08473268741,0.08473268741,0.001384,441
random_interior_256,7.4666416,6.0089102,5.9019657,0.071389131,0.030310084,0.062428234,0.16412745,-0.1150502862,0.1150502862,-0.09085289658,0.09085289658,0.000777,441
random_interior_065,7.1803994,5.0229248,6.543166,0.076041727,0.062189297,0.030147839,0.16837886,-0.1154685374,0.1154685374,-0.09068940867,0.09068940867,0.001099,441
random_interior_072,8.8454685,2.2247006,6.1038633,0.065941537,0.040432992,0.077816695,0.18419123,-0.1155603452,0.1155603452,-0.08966878177,0.08966878177,0.001051,441
random_interior_001,2.6023131,7.380203,6.5320045,0.070815285,0.079304857,0.059733604,0.20985375,-0.1155845113,0.1155845113,-0.08903395049,0.08903395049,0.010272,441
random_interior_003,8.2053465,8.7206847,3.6910898,0.077955522,0.042654149,0.065453455,0.18606313,-0.1163621131,0.1163621131,-0.09037378396,0.09037378396,0.012469,441
random_interior_169,5.9309848,2.9638879,4.2762323,0.095667923,0.069736809,0.087403357,0.25280809,-0.1168640627,0.1168640627,-0.08306513298,0.08306513298,0.000842,441
random_interior_078,7.3780866,8.6912801,5.6399077,0.051231267,0.038042488,0.07602184,0.16529559,-0.1175242868,0.1175242868,-0.09241837162,0.09241837162,0.000924,441
random_interior_191,2.5277823,6.7182995,4.7121338,0.056385542,0.087674478,0.079699174,0.22375919,-0.1180230575,0.1180230575,-0.0897771472,0.0897771472,0.000835,441
random_interior_149,7.3166283,8.8652992,4.3492711,0.041926473,0.075071847,0.066043788,0.18304211,-0.1183064623,0.1183064623,-0.09138820117,0.09138820117,0.000786,441
random_interior_425,9.7519017,4.2128309,4.0238235,0.051751148,0.073929894,0.074482468,0.20016351,-0.1186404702,0.1186404702,-0.09009635382,0.09009635382,0.000811,441
random_interior_309,6.757728,8.932789,2.6101437,0.094305232,0.096747633,0.036480109,0.22753297,-0.1189866022,0.1189866022,-0.08603263048,0.08603263048,0.000790,441
random_interior_362,7.3289534,5.6129005,4.3789753,0.078631046,0.036276935,0.066288121,0.1811961,-0.11920639,0.11920639,-0.09284805082,0.09284805082,0.000784,441
random_interior_318,6.2873032,8.350743,5.489124,0.058063929,0.035216779,0.081102342,0.17438305,-0.1193355552,0.1193355552,-0.09344734391,0.09344734391,0.000782,441
random_interior_459,7.9549129,9.8523386,5.5851588,0.049827676,0.076694716,0.033986315,0.16050871,-0.1201097811,0.1201097811,-0.09441610185,0.09441610185,0.000792,441
random_interior_323,5.593251,8.708379,4.9594091,0.090378842,0.076253488,0.031468287,0.19810062,-0.1203896549,0.1203896549,-0.09106961506,0.09106961506,0.001005,441
random_interior_178,3.6672988,6.0381573,5.7872696,0.047494014,0.066450423,0.096082832,0.21002727,-0.12068934,0.12068934,-0.09135236453,0.09135236453,0.000935,441
random_interior_463,9.5518884,6.5721831,9.4455059,0.040475354,0.021663124,0.071439706,0.13357818,-0.121267122,0.121267122,-0.09631370555,0.09631370555,0.000774,441
random_interior_338,8.7485027,6.2069739,8.7164238,0.038630391,0.092392184,0.035444646,0.16646722,-0.1215834297,0.1215834297,-0.0932181258,0.0932181258,0.000775,441
random_interior_245,7.3962537,6.3947657,7.5196557,0.052527756,0.051831274,0.044106846,0.14846588,-0.1217913088,0.1217913088,-0.09720325245,0.09720325245,0.000765,441
random_interior_478,4.091039,2.1594026,7.9279034,0.082568612,0.06384038,0.065063839,0.21147283,-0.122571007,0.122571007,-0.09340777772,0.09340777772,0.000812,441
random_interior_310,7.1761051,2.5588368,8.1772168,0.074583717,0.074457827,0.030599511,0.17964106,-0.1237631399,0.1237631399,-0.09604679855,0.09604679855,0.000797,441
random_interior_349,4.7323741,2.925211,7.3922012,0.041339905,0.064323683,0.092475116,0.1981387,-0.1239987203,0.1239987203,-0.09445043943,0.09445043943,0.000790,441
random_interior_335,7.2363307,8.3224124,3.0383897,0.055227097,0.09094836,0.045892678,0.19206814,-0.1245101638,0.1245101638,-0.09625503358,0.09625503358,0.000792,441
random_interior_305,9.9033748,3.5951279,8.9793598,0.055254211,0.058869647,0.034328255,0.14845211,-0.1245685809,0.1245685809,-0.09893411827,0.09893411827,0.000938,441
random_interior_326,4.7671082,7.9167719,8.6896276,0.038394145,0.062033972,0.058213751,0.15864187,-0.1251298692,0.1251298692,-0.09825991988,0.09825991988,0.000794,441
random_interior_469,4.9515949,7.2219329,8.4364735,0.035570548,0.044689668,0.09797236,0.17823258,-0.1256214929,0.1256214929,-0.09539717209,0.09539717209,0.000799,441
